Country/Region,location,continent,population_year,population
Afghanistan,Afghanistan,Asia,2022,41128772
Albania,Albania,Europe,2022,2842318
Algeria,Algeria,Africa,2022,44903228
Andorra,Andorra,Europe,2022,79843
Angola,Angola,Africa,2022,35588996
Anguilla,Anguilla,North America,2022,15877
Antigua and Barbuda,Antigua and Barbuda,North America,2022,93772
Argentina,Argentina,South America,2022,45510324
Armenia,Armenia,Asia,2022,2780472
Aruba,Aruba,North America,2022,106459
Australia,Australia,Oceania,2022,26177410
Austria,Austria,Europe,2022,8939617
Azerbaijan,Azerbaijan,Asia,2022,10358078
Bahamas,Bahamas,North America,2022,409989
Bahrain,Bahrain,Asia,2022,1472237
Bangladesh,Bangladesh,Asia,2022,171186368
Barbados,Barbados,North America,2022,281646
Belarus,Belarus,Europe,2022,9534956
Belgium,Belgium,Europe,2022,11655923
Belize,Belize,North America,2022,405285
Benin,Benin,Africa,2022,13352864
Bermuda,Bermuda,North America,2022,64207
Bhutan,Bhutan,Asia,2022,782457
Bolivia,Bolivia,South America,2022,12224114
"Bonaire, Sint Eustatius and Saba",Bonaire Sint Eustatius and Saba,North America,2022,27052
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,2022,3233530
Botswana,Botswana,Africa,2022,2630300
Brazil,Brazil,South America,2022,215313504
British Virgin Islands,British Virgin Islands,North America,2022,31332
Brunei,Brunei,Asia,2022,449002
Bulgaria,Bulgaria,Europe,2022,6781955
Burkina Faso,Burkina Faso,Africa,2022,22673764
Burundi,Burundi,Africa,2022,12889583
Cambodia,Cambodia,Asia,2022,16767851
Cameroon,Cameroon,Africa,2022,27914542
Canada,Canada,North America,2022,38454328
Cabo Verde,Cape Verde,Africa,2022,593162
Cayman Islands,Cayman Islands,North America,2022,68722
Central African Republic,Central African Republic,Africa,2022,5579148
Chad,Chad,Africa,2022,17723312
Chile,Chile,South America,2022,19603736
China,China,Asia,2022,1425887360
Colombia,Colombia,South America,2022,51874028
Comoros,Comoros,Africa,2022,836783
Congo (Brazzaville),Congo,Africa,2022,5970430
Cook Islands,Cook Islands,Oceania,2022,17032
Costa Rica,Costa Rica,North America,2022,5180836
Cote d'Ivoire,Cote d'Ivoire,Africa,2022,28160548
Croatia,Croatia,Europe,2022,4030361
Cuba,Cuba,North America,2022,11212198
Curacao,Curacao,North America,2022,191173
Cyprus,Cyprus,Europe,2021,896007
Czechia,Czechia,Europe,2022,10493990
Congo (Kinshasa),Democratic Republic of Congo,Africa,2022,99010216
Denmark,Denmark,Europe,2022,5882259
Djibouti,Djibouti,Africa,2022,1120851
Dominica,Dominica,North America,2022,72758
Dominican Republic,Dominican Republic,North America,2022,11228821
Ecuador,Ecuador,South America,2022,18001002
Egypt,Egypt,Africa,2022,110990096
El Salvador,El Salvador,North America,2022,6336393
Equatorial Guinea,Equatorial Guinea,Africa,2022,1674916
Eritrea,Eritrea,Africa,2022,3684041
Estonia,Estonia,Europe,2022,1326064
Eswatini,Eswatini,Africa,2022,1201680
Ethiopia,Ethiopia,Africa,2022,123379928
Faroe Islands,Faeroe Islands,Europe,2022,53117
Falkland Islands (Malvinas),Falkland Islands,South America,2022,3801
Fiji,Fiji,Oceania,2022,929769
Finland,Finland,Europe,2022,5540745
France,France,Europe,2022,67813000
French Polynesia,French Polynesia,Oceania,2022,306292
Gabon,Gabon,Africa,2022,2388997
Gambia,Gambia,Africa,2022,2705995
Georgia,Georgia,Asia,2022,3744385
Germany,Germany,Europe,2022,83369840
Ghana,Ghana,Africa,2022,33475870
Gibraltar,Gibraltar,Europe,2022,32677
Greece,Greece,Europe,2022,10384972
Greenland,Greenland,North America,2022,56494
Grenada,Grenada,North America,2022,125459
Guatemala,Guatemala,North America,2022,17843914
Guinea,Guinea,Africa,2022,13859349
