date,World,Afghanistan,Africa,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Korea,North Macedonia,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
2020-01-22,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2020-01-23,100.0,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,6.0,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,92.0,,,,,,2.0,,,,
2020-01-24,287.0,,,,,,,,,,,,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,277.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,9.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,278.0,,,,,,0.0,,,,
2020-01-25,493.0,,,,,,,,,,,,492.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,483.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,0.0,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,0.0,488.0,,,,,,0.0,,,,
2020-01-26,683.0,,,,,,,,,,,,676.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,663.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,18.0,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,3.0,665.0,,,,,,0.0,,,,
2020-01-27,809.0,,,,,,,,,,,,807.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,801.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.0,,,,,1.0,,,,,,,,,,,6.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,0.0,,,,,,,,,,,,,0.0,801.0,,,,,,0.0,,,,
2020-01-28,2651.0,,,,,,,,,,,,2646.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,2631.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,1.0,,,,,3.0,,,,,,,,,,,14.0,,0.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,0.0,,,,,,3.0,,,6.0,,,,,,,,,,,,,0.0,2637.0,,,,,,0.0,,,,
2020-01-29,589.0,,,,,,,,,,,,585.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,576.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,1.0,,,,,0.0,,,,,,,,,,,10.0,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,3.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,4.0,,1.0,579.0,,,,,,0.0,,,,
2020-01-30,2068.0,,,,,,,,,,,,2065.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,2054.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,11.0,,0.0,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,0.0,,,0.0,,,,,,1.0,,,0.0,,,,,,,,,,,0.0,,0.0,2055.0,,,,,,0.0,,,,
2020-01-31,1690.0,,,,,,,,,,,,1681.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,1659.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,,,,0.0,0.0,,,,,1.0,,,,,,,,,,,24.0,,2.0,,,0.0,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,0.0,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,7.0,,,0.0,,,,,,1.0,,,5.0,,,,,,,,,,,0.0,2.0,2.0,1666.0,,,,,,0.0,,,,
