date,World,Afghanistan,Africa,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Korea,North Macedonia,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,0.297,,,,,,,,,,,,0.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,
2020-01-28,0.63,,,,,,,,,,,,1.059,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,,,,,,3.469,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.018,,,,,,,,,,,,,,,,,,,,,0.046,,1.068,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,0.001,,8.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.242,,,,,,,0.058,,,,,,,,,0.293,,,0.139,,,,,,,,,,,,,0.012,1.964,,,,,,0.02,,,,
2020-01-29,0.704,,,,,,,,,,,,1.183,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,,,,,,3.873,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.022,,,,,0.074,,,,,,,,,,,,,,,,0.054,,1.335,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,0.001,,8.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.242,,,,,,,0.058,,,,,,,,,0.293,,,0.139,,,,,,,,,,,,,0.015,2.193,,,,,,0.02,,,,
2020-01-30,0.95,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,,,,,,5.249,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.022,,,,,0.074,,,,,,,,,,,,,,,,0.058,,1.068,,,,,,,,,,,,,0.073,,,,,,,,,,,,,,,,,0.001,,7.192,,,0.236,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.012,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.597,,,,,,,0.058,,,,,,,,,0.335,,,0.139,,,,,,,,,,,,,0.015,2.97,,,,,,0.0,,,,
2020-01-31,1.126,,,,,,,,,,,,1.896,0.344,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,,,6.219,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.024,,,,,0.044,,,,,,,,,,,,,,,,0.07,,1.335,,,,,,,,,,,,,0.105,,,,,,,,,,,,,,,,,0.001,,7.192,,,0.236,,,,,,,,,,,,,,,,,,,0.033,,,,,,,0.012,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.774,,,,,,,0.174,,,,,,,,,0.293,,,0.195,,,,,,,,,,,,,0.018,3.52,,,,,,0.0,,,,
2020-02-01,1.329,,,,,,,,,,,,2.237,0.458,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.026,,,,,,7.344,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.036,,,,,0.044,,,,,0.096,,,,,,,,,,,0.082,,1.068,,,,,,,,,,,,,0.145,,,,,,,,,,,,,,,,,0.002,,7.192,,,0.118,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.012,,,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.306,,,,,,,0.193,,,0.046,,,,,,0.293,,,0.181,,,,,,,,,,,,,0.018,4.153,,,,,,0.041,,,,
2020-02-02,1.839,,,,,,,,,,,,3.099,0.306,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.026,,,,,,10.201,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.04,,,,,0.044,,,,,0.12,,,,,,,,,,,0.076,,0.935,,,,,,,,,,,,,0.129,,,,,,,,,,,,,,,,,0.003,,4.315,,,0.118,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.007,,,,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.484,,,,,,,0.232,,,0.046,,,,,,0.251,,,0.153,,,,,,,,,,,,,0.009,5.765,,,,,,0.041,,,,
2020-02-03,2.126,,,,,,,,,,,,3.583,0.267,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.026,,,,,,11.803,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.042,,,,0.18,0.044,,,,,0.132,,,,,,,,,,,0.08,,0.935,,,,,,,,,,,,,0.129,,,,,,,,,,,,,,,,,0.003,,2.877,,,0.118,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.012,,,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.306,,,,,,,0.212,,,0.0,,,,,,0.209,,,0.153,,,,,,,,,,,0.53,,0.018,6.67,,,,,,0.061,,,,
2020-02-04,2.297,,,,,,,,,,,,3.871,0.306,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.026,,,,,,12.754,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.036,,,,0.18,0.029,,,,,0.096,,,,,,,,,,,0.082,,1.202,,,0.002,,,,,,,,,,0.121,,,,,,,,,,,,,,,,,0.003,,4.315,,,0.177,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.012,,,,0.178,,,,,,,,,0.017,,,,,,,,,,,,,,,,,,,,3.016,,,,,,,0.232,,,0.0,,,,,,0.126,,,0.153,,,,,,,,,,,0.53,,0.018,7.207,,,,,,0.061,,,,
2020-02-05,2.693,,,,,,,,,,,,4.54,0.267,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.052,,,,,,14.965,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.031,,,,0.0,0.015,,,,,0.096,,,,,,,,,,,0.086,,1.469,,,0.002,,,,,,,,0.034,,0.129,,,,,,,,,,,,,,,,,0.003,,4.315,,,0.147,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.012,,,,0.155,,,,,,,,,0.017,,,,,0.014,,,,,,,,,,,,,,,3.725,,,,,,,0.289,,,0.0,,,,,,0.126,,,0.153,,,,,,,,,,,0.106,0.133,0.015,8.455,,,,,,0.061,,,,
2020-02-06,2.83,,,,,,,,,,,,4.772,0.191,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.052,,,,,,15.73,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.031,,,,0.0,0.015,,,,,0.096,,,,,,,,,,,0.088,,1.869,,,0.001,,,,,,,,0.034,,0.097,,,,,,,,,,,,,,,,,0.003,,4.315,,,0.177,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.013,,,,0.111,,,,,,,,,0.009,,,,,0.014,,,,,,,,,,,,,,,3.193,,,,,,,0.367,,0.021,0.0,,,0.095,,,0.293,,,0.153,,,,,,,,,,,0.106,0.133,0.018,8.887,,,,,,0.081,,,,
2020-02-07,3.069,,,,,,,,,,,,5.163,0.229,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.104,,,,,,17.036,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.029,,,,0.0,0.015,,,,,0.096,,,,,,,,,,,0.076,,1.736,,,0.001,,,,,,,,0.017,,0.065,,,,,,,,,,,,,,,,,0.003,,4.315,,,0.206,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.013,,,,0.133,,,,,,,,,0.017,,,,,0.0,,,,,,,,,,,,,,,3.016,,,,,,,0.251,,0.021,0.0,,,0.095,,,0.251,,,0.084,,,,,,,,,,,0.106,0.104,0.012,9.622,,,,,,0.081,,,,
2020-02-08,3.146,,,,,,,,,,,,5.295,0.115,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.104,,,,,,17.468,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.027,,,,0.0,0.074,,,,,0.06,,,,,,,,,,,0.074,,1.736,,,0.001,,,,,,,,0.017,,0.032,,,,,,,,,,,,,,,,,0.003,,4.315,,,0.236,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.013,,,,0.067,,,,,,,,,0.017,,,,,0.0,,,,,,,,,,,,,,,3.016,,,,,,,0.232,,0.0,0.0,,,0.0,,,0.293,,,0.181,,,,,,,,,,,0.318,0.163,0.012,9.869,,,,,,0.071,,,,
